향수_이름,향수_notes,향수_설명
필로소피 퓨어 그레이스 누드,"Green Notes, Dew Drop, Rose Petals, Neroli, Orange Blossom, Musk, Cedar","로즈는 채광이 좋아서 햇살이 눈부시게 들어오는 방에 들장미를 가득 채워 모습이 떠오르는 향이에요. 따사로움서도 감성적인 이미지를 가진 분에게 너무 잘 어울릴 겁니다. 상쾌하고 청결하면서 약간의 중성적인 바이브도 있는 향입니다. 방금 세탁을 끝낸 옷을 입은듯한 느낌을 줘서요. 은은한 섬유 위원제 향, 편안한 코튼 향을 선호하는 분에게 강추합니다."
클린 리저브 블랜드 웜코튼,"Aldehydes, Ozonic notes, Watery Notes, Ginger, Green Notes, Floral Notes, Mint, Pepper, Musk, Vetiver, Incense",정말 갓 세탁한 섬유에서 나는 편안한 향 그 자체. 정말 갓 세탁한 옷에서 나는 편안한 향만 놔서 완전 꽂혀 썼어요. 처음에는 깊은 향취를 느낄 수 있어요. 민티는 느낌으로 시작을 하고요 시간이 지나면은 포근한 머스크향이 남습니다. 그래서 이 향수를 뿌리면 정말 항상 정갈하고 자기 관리 잘하고 언제나 깨끗하고 잘 다려진 옷을 입고 다니는 사람의 이미지를 연출할 수 있을 것 같아요.
클린 리저브 블랜드 스킨,"Praline, Musk, Salt, Tonka Bean, Leather",진짜 스킨형 살 냄새예요 정말 우리의 살구빛 부드러운 살결이 떠올릴 정도로 포근한 향이랑 달달한 향기가 어우러졌어요. 그래서 이 향수를 딱 뿌리면 연인이랑 함께 안락한 집에서 초콜릿이나 비스킷 같은 맛있는 간식 만들면서 너무 행복한 시간을 보내고 있는듯한 그런 모습이 연상이 돼요.
클린 리저브 블랜드 레인,"Melon, Water Lily, Musk, Narcissus, Daisy",비가 그친 숲속에 차분하고 잔잔한 향이라는 컨셉을 가지고 있는데요. 상큼한 시트러스 향이랑 수련 은방울꽃 요런 촉촉한 꽃향기가 나고요. 잔향으로 갈수록 패출리 베티버 등의 풀향이 납니다. 그래서 물기가 맺혀 있는 숲 속에 딱 들어가서 그 맑은 공기를 한 껏 흠 하고들이 마시는듯한 기분이 들어요. 전반적으로 잔잔한 바이브라 차분하고 조용한 성향을 가진 분들이 뿌리면 너무너무 잘 어울릴 것 같고요.
클린 아쿠아 네롤리,"Bergamot, Sicilian Orange, Mandarin Orange, Neroli, Orange Blossom, Jasmine, Musk, Ambrette (Musk Mallow), Sandalwood, Amber",티없이 맑고 자연적이고 시원한 네롤리 향을 좋아한다면 정말 추천하는 향수입니다. 처음에 딱 뿌렸을 때는 지중해에서 잘한듯한 밝고 가벼운 시트러스 향이 나는데요. 롤리를 중심으로 은은한 꽃향기가 퍼지는데 이때 꽃향기가 좀 비는 애 같아요. 내추럴하고 신선한 비누향이 아니라 신선한 향이라고 할 수 있죠.
메종 마르지엘라 온 어 데이트,"Blackcurrant Syrup, Pink Pepper, Bergamot, Rose, Geranium, Davana, Patchouli, Moss, Musk, Vetiver","늦여름 저녁 황금 석양빛에 잘 익은 포도와 신선한 장미향기가 공기를 가득 채워서 로맨틱했던 하루가 떠오르는 향수입니다. 처음에 뿌리면 포도 향기가 나고, 이게 자연적인 포도향이라기보다는 잘 익은 포도로 와인을 만들었을 때 날법한 향에 가깝습니다. 포도를 잘 조린 듯한 달달함에 새콤한 시트러스 향도 섞였고, 핑크 페퍼 향주 덕분에 스파클링한 바이브도 있어요. 그리고 곧이어 플로럴 바이브가 풍성하게 나고, 잔향에서 패출리, 베티버, 이끼 향들이 남거든요. 장미꽃다발을 한아름 안은 듯한 느낌과 넓게 펼쳐진 포도밭에 온 듯한 느낌이 느껴집니다."
구찌 뷰티 알케미스트 가든 티어즈 프롬 더 문,"Peony, Lily-of-the-Valley, Stephanotis","진짜 럭셔리하고 보드라운 꽃향기, 정말 여리여리한 꽃향기와 달콤한 샴푸향이 느껴지는 향입니다. 슈퍼 라이트하고 슈퍼 프리티한 향이다라는 리뷰와 공감되고, 이 향은 진짜 좋은데 어디서 맡아본 냄새 같은 느낌이 드는 향이기도 합니다. 정말 여리여리한 여자에게서 날법한 달콤한 샴푸향같은 느낌입니다. 순백의, 신비롭고 은은하게 느껴지고 뽀얗고 에어리한 느낌이 있어요."
조보이 파리 투셰 피날레,"Mimosa, Pink Pepper, Violet Leaf, Rose, Jasmine, Cedar, Heliotrope, White Musk, Sandalwood","부드럽고 달콤한 파우더향이 메인인 향수로, 클래식하고 고상한 느낌입니다. 파우더리함이 다양한 꽃향기와 함께 달콤하게 느껴지며, 아주 곱고 섬세한 파우더 향입니다. 이 향수의 컨셉은 예술가가 명작을 그리다가 마지막으로 붓을 터치해서 작품을 완성시키는 순간에서 영감을 받은 향이라고 해요. 상견례나 선자리에 잘 어울릴 것 같을 정도로 참한 느낌입니다. 완전 클래식한 느낌."
리베르 아트 북,"Bergamot, Black Pepper, Tangerine, Lemon, Orchid, Violet, Clove, Rose, Musk, Amber, Cedarwood, Pachouli","중성적인 우디 향으로, 나무소재 책장에서 나는 우디향이 지배적이고, 장식용 식물에서 느껴지는 약간의 그린어리함도 곁들여져 있습니다. 연필심 냄새와 중간중간에 스파이시한 향신유 냄새가 느껴지며, 전체적으로 가볍고 스파이시한 향입니다."
프레쉬 로즈 모닝,"Rose, Violet Leaf, Black Currant, Bulgarian Rose, Peach Blossom, Freesia, White Tea, Musk, Amber","되게 예쁘고 생생한 연 핑크색의 장미 향인데, 아침 이슬이 맺혀 있어 촉촉하고 맑은 핑크 장미향을 맡을 수 있습니다. 산뜻한 복숭아향도 느껴져서 기분이 좋아지는 향이에요."
퍼퓸드말리 팔라틴,"Pear, Bergamot, Mandarin, Violet, Floral bouquet, Lavender, Musk, Sandalwood, Vanilla, Patchouli","요거는 보라빛의 바이올렛 꽃향기가 메인 향수예요. 저는 이 향을 딱 맡자마자 두 가지 명곡이 떠올랐어요. 보라빛처럼 살며시 다가오는 느낌, 향기가 어려 있는 예쁜 눈 슬픈 느낌이예요. 첫 향에서는 서양 배를 중심으로 한 프루트 향이랑 여러 꽃향이 신선하게 퍼져요. 뿌리자마자 되게 고급진 샴푸향 같다라고 느꼈어요. 바이올렛 꽃향기는 일반적으로 파우더 향이라고 여기기는 하지만 이 팔라틴의 바이올렛은 신선한 방식으로 해석을 했다는 점이 재밌습니다. 향은 마치 바이올렛 꽃을 곱게 갈아서 반짝반짝하는 글리터로 만든 듯한 향이에요. 잔향에서는 중성적인 허브 우디향이 남아요. 처음 뿌렸을 때와는 완전히 다른 스타일로 향이 남는다는 거죠. 중성적이면서 포근한 우디 머스크향이 남습니다."
퍼퓸드말리 발라야,"Aldehydes, White Peach, Bergamot, Mandarin Orange, Orange Blossom, Petalia, Lily-of-the-Valley, Nympheal™, Vetiver, Mahonia, Musk, Ambroxan, Akigalawood, Vanilla",발라야 향은 새하얀 면사포를 쓰고 있는 정말 청순하게 단장하는 사람이 떠오를 정도로 깨끗한 향이에요. 복숭화 향이랑 시트러스가 부드러운 오렌지 플라워와 바닐라 머스크 향을 만나서 스윗한 살냄새처럼 은은하게 동시에 좀 은근한 관능미까지 만들어 준 향이죠. 신기하게도 지속력과 확산력이 너무 좋아요. 그 은은함과 지속성을 둘 다 갖춘 향수입니다.
퍼퓸드말리 그린리,"Green Apple, Calabrian bergamot, Mandarin Orange, Petitgrain, Cedar, Cashmeran, Pomarose, Violet, Oakmoss, Musk, Amberwood",저는 이 향을 맡으면 뭔가 숲속에서 청사과를 시원한 물로 씻고 있는 기분이 들어요. 초록초록한 녹음이라 풋풋한 과일향이 어우러져서 아주 프레시한 무드를 만들어 주는 향수입니다. 처음에 딱 뿌렸을 때는 아삭아삭한 그린 애플의 향이랑 상큼한 시트러스 향이 상쾌하게 나오고요. 자연적이고 그리너리 한 향이 중성적으로 퍼집니다.
조말론 바질 앤 네롤리,"Basil, Neroli, White Musk, Vetiver",아주 신선한 바지를 향기로 시작을 했다가 왠지 색깔이 연두색일 것 같은 비누에서 날 법한 향으로 이어지는 향수입니다. 오렌지 나무에서 씁쓸한 오렌지 꽃을 따고 싱그러운 허브들도 채집해서 직접 만든 비누가 있다면 딱 이런 향일 것 같아요. 되게 산뜻하면서도 뭔가 장난기 있는 느낌의 향수입니다.
살롱드느바에 퓨어 워터,"Water Notes, Tangerine, Lemon, Aldehydes, White Lily, Sea Notes, Jasmine, Musk, Roots, Brazilian Rosewood, Sandalwood, Amber",세탁세제를 풀어놓은 깨끗한 물이 떠오르는 향이라서 누구나 부담없이 쓸 수 있을 만한 향기입니다. 처음에는 맑은 물에 아쿠아틱한 향과 새콤한 레몬향이 나다가 시간이 지날수록 세탁과 다림질을 마친 흰 셔츠에서 날 법한 머스크향으로 마무리가 됩니다.
필로소피 어메이징 그레이스 발레로즈,"Litchi, Rose, Peony, White Musk, Woodsy Notes","아주 순하고 깨끗하고 심플한 장미향입니다. 여리여리한 핑크색 장미에서 나는 예쁜 로즈향이 은은하게 나고요. 잔향은 약간 비누향기 같아요. 발레리나의 모습에서 영감을 받은 향수인데, 정말 토슈즈와 발레복을 입고 있는 섬세한 몸짓의 발레리나에게서 날법한 향기로 느껴집니다."
프레데릭날 이리스 뿌드,"Ylang-Ylang, Carnation, Palisander Rosewood, Bergamot, Orange, Aldehydes, Grapefruit, Juniper, Violet, Lily, Jasmine, Rose, Magnolia, Orris, Leather, Cyclamen, Peach, Iris, Musk, Sandalwood, Vetiver, Vanilla, Amber, ebony tree, Cedar, Tonka",포근한 베이비 파우더가 떠오르는 새하얗고 순수한 아이리스 꽃 향기처럼 느껴지는 향입니다. 샤넬 넘버 5 향과 비슷한 느낌으로 아주 고혹적이고 고급스러운 알데하이드 향이기도 합니다.
랄프로렌 폴로 랄프 EDT,"Apple Leaf, Italian Mandarin, Japanese Osmanthus, Yellow Freesia, Magnolia, Boronia, Musk, White Iris",젊고 발랄한 느낌의 향입니다. 청사가 향이 나는 샴푸로 방금 머리를 감고 나와서 물기가 아직 채 마르지도 않은 10대나 20대에게서 날 법한 향이에요. 아주 청량하고 과하지 않은 샴푸향이기 때문에 굉장히 오랫동안 사랑받아온 베스트셀러입니다.
페사드 미드 마운틴,"Pachouli, Cedarwood, Orchid, Lemon, Rose, Muge, Amber, Musk","이 향을 뿌렸을 때 연상되는 느낌은 캘리포니아 LA 같은 도시에 혼자 여행가 가지고 밤거리를 산책하고 있는 모습이었어요. 신선한 레몬 향에서 느낄 수 있으며, 곧이어서 로즈의 핑크빛과 은방울꽃, 오키드, 그리고 엠버, 패출리 노트가 잔잔하게 퍼집니다. 밀키한 샌다로드 향이 오래도록 잔량으로 남아, 너무 크리미하지도 않고 적절하게 잘 표현됐다고 느꼈어요. 이 향이 LA 같은 낭만적인 도시가 연상되는 플로럴 우디향으로 완성이 된 거죠."
페사드 더 뉴 에러,"Black tea, Lum, Cedarwood, Bergamot, Orange, Citrus, Rose, Tea, Pepper, Cedarwood, Sesame, Musk","이 향은 가벼운 시트 향으로 시작을 했다가 묵직한 블랙티 향과 시더우드 향으로 이어지고, 달큰한 럼 향과 매케한 스파이시 페퍼 향이 어우러집니다. 낮에는 카페로 운영하고 밤에는 바로 운영되는 분위기 좋은 바에 있는 것 같은 느낌이에요, 럼과 블랙 티를 함께 즐기는 느낌이죠. 오묘하면서도 입체적인 향이라서 정의되고 싶지 않아라고 생각하시는 분들에게 추천하고 싶은 오리엔탈 우디 계열의 향기입니다."
페사드 인 하인드사이트,"Rasberry, Rose, Musk, Peach, Geranium, Lily, Orchid, Sandalwood, Guaiac wood, Amber","이 향수는 내 몸에 마고 뿌리고 싶은 향수라고 표현하고 싶어요. 달콤한 샴푸향 같다를 외쳤어요. 라즈베리와 복숭아, 그리고 장미, 백합으로 만든 샴푸 같은 향이 나고, 시간이 지나면 아주 폭닥한 파우더리 머스크향으로 마무리가 돼요. 잔향은 포근한 꽃비 같은 느낌으로 마치 장미빛 비누 위에 자스민과 백합 같은 꽃잎을 촘촘히 쌓아 올리고 복숭아 과즙이 라즈베리 향 샴푸를 짜서 뿌린듯한 향이라고 느껴집니다."
페사드 언 언신,"Neroli, Cetalox, Musk, Mandarin Orange, Pine Tree, Rose, Clobe, Petitgrain, Helioatrope, Oakmoss, Elemi, Musk","순백의 네롤리 향이 지배적인 향인데요, 뿌리자마자 클로브 소나무 같은 쾌청한 향도 느껴져서 봄이나 여름처럼 화창한 계절을 떠올리게 합니다. 부드러운 머스크향과 함께 다가와요. 눈부신 햇살이 쏟아지고 온도가 정말 따스해서 몸과 마음이 몽롱해지는 유리 온실에 들어온 기분이 듭니다."
페사드 드 누드,"Iris, Leather, Sandalwood, Cardamom, Ylang-Ylang, Jasmine, Pachouli, Vetiver, Musk, Benzoin, Guaiac wood, Cedar","처음에 딱 뿌리자마자 쌉쌀하고 매콤한 카다몸 향이 후각을 훅 자극시켜 그리고 곧바로 가죽 향이 풍부하게 발행되고 아이리스와 패출리 등의 흙묻은 식물 향이 함께 이어집니다. 베이스 노트에서는 베티버, 머스크, 가이아, 구드, 샌다로드, 시더우드 등의 다양한 우디 머스크향이 자신의 존재감을 자랑해요. 이 향을 맡으면 따뜻하면서도 건조한 사막의 모래가 떠오르기도 하고, 이국적인 나라의 빈티지샵에서 구입한 오래된 양탄자가 있는 듯한 향일 것 같다라는 생각도 들었습니다."
페사드 오우드 블론드,"Davana, Musk, Oud, Nutmeg, Taif rose, Geranium, Cardamom, Coriander, Chypress, Pachouli, Guaiac wood","이 오우드 블론드 향은 다바나, 머스크, 오우드 향이 어우러진 플로르 머스크, 우디 머스크 향이에요. 매콤달콤한 넉백과 카다멈, 고수 같은 향신료도 곁들여져 아로마틱한 느낌을 선사합니다. 전체적으로 묵직한 오우드 향이 나는데, 굉장히 품미 있는 이미지가 듭니다."
탬버린즈 펌킨,"Bergamot, Perila Leaf, Blood Orange, Pumpkin, Ginger, Coconut milk",화이트 펌킨이 진저를 넣어서 만든 펌킨 케이크가 떠올랐습니다. 그 펌킨 케이크가 당도는 아주 낫고 질감은 퐁신퐁신 스펀지 케이크일러스트 본 정말 독특하고 여기에서만 맡아본 향이라서 인상 깊었어요. 보통 펌킨 스파이시 계열은 엄청 달달하고 꾸덕한 느낌인 경우가 많는데 이거는 신기하게도 청초한 이미지입니다. 향수의 탑 노트에는 그 차조기 잎이랑 블러드 오렌지가 약간 푸르고 프레쉬한 바이브를 만들어 줘서 그렇게 청초한 느낌으로 포문을 여는 거 같아요. 잔향에서 부드러운 코코넛 향이랑 샌다로드 머스크 향이 남는데요. 이 코코넛 향이 진짜 코코넛 생 과일의 과육에서 날법한 향이라서 잔향까지 좀 여운을 남기죠. 그래서 이 펌킨이 처음부터 끝까지 정말 오묘한 잔상을 만들어 주는 향수다라고 표현하고 싶어요.
탬버린즈 우드 솔트 비치,"Rosewood, Bergamot, Seasalt, Marine, Ambret seed, Cedarwood Atlas, Amberwood, Gursum Balsam, Musk",햇살에 물든 에메랄드빛 바다와 숲에 경계에서 불러오는 시원한 바람을 떠오르게 하는 향수입니다. 처음에 뿌리자마자 짭짤하고 시원한 바다향이 확 나고요. 달콤한 로즈우드 향이랑 베르가모 향도 청량하게 곁드려 졌습니다. 그리고 뒤어서 시도 우드와 머스크가 포근하게 향을 감싸 안아 줘서요 처음에는 프레시하게 시작하지만 시간이 지날수록 조금 무게감 있게 마무리돼요. 짭짤한 바다향이 나는 향수인 하지만 막 비릿한 느낌은 전혀 없기 때문에 웨어러블하게 사용할 수 있을 법한 향수고.
탬버린즈 베이더인 더 레이크,"Clarly Sage, Lavender, Mugwort, Incense, Water, Moss, Amber, Musk",정적인 느낌의 향입니다. 고요하고 잔잔한 향이죠. 그 동이 트기 직전에 살짝 어스름한 새벽에 나 혼자서 숲을 걸어가고 있는듯한 기분이 드는 아주 자연적이고 그리너리한 향입니다. 쌉사름한 쑥 향기가 꽤 나고요. 촉촉한 이끼도 느껴지고 클라리 에이즈와 라벤더와 같은 향긋한 허브향도 납니다.
탬버린즈 솔티 바닐라,"Lemon, White Pepper, Salt, Sage, Sand, Vanilla, Cedarwood, Sandalwood",달콤한 바닐라 향이랑 크리미한 샌드로드 향이 나는데 그게 맛있 는 간식 같은 장르가 아니라 드라이한 향이더라구요. 마치 햇볕에 따뜻하게 되어진 모래사막에 누워 가지고 내 살결에 닿는 포근하고 부드러운 모래를 느끼고 있는듯한 기분이 듭니다. 그리고 거기에다가 짭조름한 솔티 향이랑 상큼한 레몬향 그리고 톡톡 튀는 후추의 향도 있는데요.
탬버린즈 브라운,"Grass, Olibanum, Rose, Mahogany, Amber, Pachouli, Oakwood",마호가니의 우아하고 부드러운 색에서 영감을 받은 향입니다. 살짝 스파이시한 향이 감이 된 깊고 풍부한 우디향이 나고 향 전체에 따스함을 더해 주는 역할을 해 줘요. 그리고 그런 마호가니에 섬세한 장미향도 더해줬고 따뜻한 엠버와 패출리 오크 우드도 더해져서 이 향수는 우디향 러버에게 추천하고 싶어요.
탬버린즈 레이트 어텀,"Galbanum, Buku, Sugar cane, Artemisia, Cedarwood, Musk",가볍게 바람에 흔들리고 있는 사탕 수수밭의 아슬한 플레음 표현한 향수입니다. 미국이나 호주 같은 나라가 보면 드넓은 돼지 있고 하늘 엄청 청명하고 그리고 마음껏 잘한 나뭇잎들이 있는 그런 장소 있잖아요. 그런 장소에 딱 간듯한 기분을 느끼게 해주는 향이에요.
탬버린즈 볼드 시트러스,"Blood Orange, Mandarin, Bitter Orange, Violet Leaf, Musk, Ambret seed, Sidelial, Senna tora",비터 오렌지 만다린 블러 오렌지 요런 시트러스 향으로 경쾌하게 시작을 하는데 시간이 지날수록 좀 고소한 향도 나고 얼씨 향도 나서 독특한 향취를 만들어냅니다. 이 향수에서 A 시트러스는 뭐 마냥 달달하고 상콤하게 한게 아니라 과일 껍질의 씁쓸함이 더 많이 느껴지는 시트러스입니다.
