파일명,영상제목,URL,향수_이름,향수_설명
10만원 이하 향수 8개 추천____페라가모_모스키노_끌로에_D_G_멈칫_모노템 _클린_엘리자베스아덴 _ft_서울스토어_ _ 미지의세계 MIJI_JDZSe7aINUw.txt,10만원 이하 향수 8개 추천🧚‍♀️페라가모/모스키노/끌로에/D&G/멈칫/모노템 /클린/엘리자베스아덴 (ft.서울스토어) | 미지의세계 MIJI,https://www.youtube.com/watch?v=JDZSe7aINUw,끌로에 오드뚜왈렛,아주 고급진 장미비누 향이 나는데요. 백장미가 떠오르는 향입니다. 초여름 즈음에 이파리들이랑 백장미가 피어 있을 때 날 것 같은 향으로 느껴지기도 해요. 약간 청초한 이미지가 있어요.
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 화이트 로즈,이 향은 아주 퓨어한 이미지의 순백의 장미가 떠오르는 향이거든요. 막 검붉고 가시 도친 장미 말고요 부드러운 흰 장미의 꽃잎만 떼서 그걸로 우유 비누를 만든다면 딱 이런 향이 날 것 같습니다. 상냥하고 마일드한 이미지에 은은한 향이라서 서비스직이나 실내에서 일하는 분들 혹은 학생 분들에게까지 두루두루 잘 어울릴 것 같습니다.
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 넘버 007,"이 향은 가을 겨울에 특히 잘 어울릴 것 같아요! 마치 제임스 본드가 블랙이나 딥한 브라운 컬러의 수트를 딱 입고 있는 모습을 연상케 하는 향이에요. 그만큼 분위기 있고 강인한 매력을 가진 사람에게 잘 어울릴 것 같습니다. 전체적으로 샌달우드 향이랑 엠버 향이 많이 나는 엠버 우디 계열의 향인데요. 향이 약간 이국적인 장소들의 장엄한 느낌을 자아냅니다. 비밀스러운 관능미가 있는 젠틀맨 혹은 분위기 있고 이국적인 향을 좋아하는 여자분들께 추천드려요."
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 부케 드 라렌,정말 정석적인 예쁜 부케 향이예요. 촉촉한 꽃들이 모여 있는듯한 물기 있는 플로럴 향이 지배적이고 달콤한 플로럴 향이 지배적이고 달콤한 과일향도 곁들어져 있어서 개인적으로 이 향이 왕실에서만 사용되는 달콤한 향의 샴푸나 바디 워시가 있다면 딱 이런 향이지 않을까라는 생각이 들게 하더라고요. 럭셔리하지만 어렵지 않게 쓸 수 있는 프루티 플로럴 향을 찾는 분들에게 추천을 하고 싶습니다.
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 스페셜 넘버 127,확실히 중성적이고 신사적인 이미지가 있긴 한데 남자 스킨 냄새가 강하게 나는 스타일이 전혀 아니예요. 저한테 이 향은 앤티크하면서 고급스러운 분위기의 바버샵에서 사용하는 비누향처럼 느껴졌어요. 뿌리자마자 라벤더 향이 편안하게 느껴지고 너무 톡 쏘지 않은 시트러스 향이랑 네롤리 향도 꽤 느껴집니다. 중성적인 시트러스 허브향을 좋아하시는 분들이라면 추천합니다!
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 릴리,은방울 꽃들이 막 만발해 있고 그 사이에 장미나 자스민 일랑일랑 이런 꽃들이 드물게 피어져 있는 모습이 떠올라요. 전체적으로 푸릇하고 신선한 식물의 달콤한 이슬이 어려 있는 이미지로 다가온 향수입니다.
300년된 _찐_왕실 향수 브랜드_플로리스 런던 향수 리뷰_pnSHNIRWrgM.txt,300년된 (찐)왕실 향수 브랜드👑플로리스 런던 향수 리뷰,https://www.youtube.com/watch?v=pnSHNIRWrgM,플로리스 런던 세피로,"개운하고 부담없는 스킨향이랑 시트러스향의 조합을 선호하셨던 분들에게 특히 추천드려요. 정말 지중해 안뜰에 앉아 있을 때 불러오는 산들바람 같은 향입니다."
3만원대로 구입하는 조말론 정품 향수_twgmgK2x6sE.txt,3만원대로 구입하는 조말론 정품 향수,https://www.youtube.com/watch?v=twgmgK2x6sE,조말론 잉글리시 페어 앤 프리지아,화이트 프리지아 부케 향에다 잘 익은 배의 향이 곁들여져서 지적인 이미지를 자아내는 향수예요.
3만원대로 구입하는 조말론 정품 향수_twgmgK2x6sE.txt,3만원대로 구입하는 조말론 정품 향수,https://www.youtube.com/watch?v=twgmgK2x6sE,조말론 우드 세이즈 앤 씨 솔트,소금기를 머금은 신선한 바다 공기에 세이지라는 허브향과 우디한 흙 내음이 어우러진 향이예요.
3만원대로 구입하는 조말론 정품 향수_twgmgK2x6sE.txt,3만원대로 구입하는 조말론 정품 향수,https://www.youtube.com/watch?v=twgmgK2x6sE,조말론 라임 바질 앤 만다린,톡 쏘는 라임 향에 약간 이국적인 바질향 그리고 깨끗한 백리향이 더해져서 아주 독보적인 시트러스 향을 완성한 향수죠.
3만원대로 구입하는 조말론 정품 향수_twgmgK2x6sE.txt,3만원대로 구입하는 조말론 정품 향수,https://www.youtube.com/watch?v=twgmgK2x6sE,조말론 넥타린 블로썸 앤 허니,아카시아 꿀에 천도 복숭아가 푹 빠진 듯한 달달한 향기입니다.
5만원_15만원_ 여자 학생 향수 추천 with 뷰티 크리에이터 스완 _ 미지의세계 MIJI_akGgkAwxS-I.txt,5만원~15만원! 여자 학생 향수 추천 with 뷰티 크리에이터 스완 | 미지의세계 MIJI,https://www.youtube.com/watch?v=akGgkAwxS-I,케이트 스페이드 뉴욕 케이트 스페이드 오드퍼퓸,"딸기가 터지는 그런 느낌인데, 생과일 딸기는 전혀 아니고 딸기 샴푸 같은 느낌이에요. 첫 향은 되게 과즙이 팡! 터지는 느낌인 데에 비해서 잔향은 잔잔하고 포근하게 마무리 돼요. 키크고 마른 사람이 연상되는 느낌이예요! 상큼 달달 귀여운, 기분 좋은 학생 분들 저격 향수 같아요."
69만원대 톰포드 향수 VS 3만원대 자라 향수_FJ_gKvlL7pA.txt,69만원대 톰포드 향수 VS 3만원대 자라 향수,https://www.youtube.com/watch?v=FJ_gKvlL7pA,자라 체리스무디,이 체리스무디의 첫 향은 Tootsie Pop 체리맛 사탕을 응축한 것 같은 향입니다. 그리고 곧 이어서 검붉은 자두의 향과 달달한 바닐라향 그리고 약간의 아몬드 향도 함께 어우러집니다. 근데 좀 더 시간이 지나면 체리스무디에서 꿀 향이 많이 나요.
7천원대 바디제품부터_20만원대 향수까지_ 메론향 향기템 추천___FVtmiprXuk8.txt,7천원대 바디제품부터~20만원대 향수까지! 메론향 향기템 추천🍈💚,https://www.youtube.com/watch?v=FVtmiprXuk8,산타마리아노벨라 친칸타,"가벼운 메론향과 함께 맑은 물 위에 띄어져있는 흰 꽃들이 연상 돼요. 생과일의 향보다는, 멜론이 들어간 오이 비누 향에 좀 더 가까워요. 물 향이 많이 들어간 과일 향이 나요. 그러면서도 비누가 생각날 정도로 부드러운 질감도 공존합니다. 소프트하면서도 상쾌하죠. 향을 맡았을 때 느껴지는 이미지는 생긴건 부드럽고 순둥순둥한데 성격은 생기있고 에너제틱한 취미를 가지고 있는 사람이 떠올랐어요! 비누처럼 깨끗한 향이 은은하게 풍기는 사람이 생각나기도 하고요."
7천원대 바디제품부터_20만원대 향수까지_ 메론향 향기템 추천___FVtmiprXuk8.txt,7천원대 바디제품부터~20만원대 향수까지! 메론향 향기템 추천🍈💚,https://www.youtube.com/watch?v=FVtmiprXuk8,불리 콩콩브르,"이 콩콩브르는 인공적이지 않은 메론향이라고 할 수 있습니다. 오이랑 메론을 넣은 연두빛 투명한 물 혹은 멜론이랑 오이, 막 각종 허브들로 만든 냉채 느낌의 향기입니다. 오이나 메론 같은 과일과 채소의 원물의 향을 직관적으로 구현하고자 한 느낌이죠. 은은하고 가벼운 향수예요."
8천원_5만원대_ 추구미에 따라 추천하는 갓성비 향기템들__올리브영 부터 니치 향수 브랜드까지___GMcyRCmFlDk.txt,8천원~5만원대! 추구미에 따라 추천하는 갓성비 향기템들💕#올리브영 부터 니치 향수 브랜드까지〰️,https://www.youtube.com/watch?v=GMcyRCmFlDk,SW 19 6AM,"안개 낀 새벽의 영국 숲을 연상시키는 향기로, 좀 어둑어둑하고 안개가 자욱해서 약간 축축한 공기가 감도는 숲에서 날법한 잔디와 나무, 이끼 냄새가 한데 어우러졌습니다. 고요하고 톤이 낮은 그리너리한 느낌이 있어요. 저는 오히려 쑥냄새가 더 느껴진달까요? 그래서 오히려 동양적인 무드로 느껴지기도 합니다. 사람으로 따지자면 약간 말수도 적고 화려한 외모를 가지지 않았지만, 자기만의 신비로운 매력이 있는 사람의 느낌이예요. 옷도 베이직하게 잘 입는 사람이 될 수 있을 것 같은 느낌의 향입니다."
8천원_5만원대_ 추구미에 따라 추천하는 갓성비 향기템들__올리브영 부터 니치 향수 브랜드까지___GMcyRCmFlDk.txt,8천원~5만원대! 추구미에 따라 추천하는 갓성비 향기템들💕#올리브영 부터 니치 향수 브랜드까지〰️,https://www.youtube.com/watch?v=GMcyRCmFlDk,아로 니티 허그,"새하얀 눈 속에서 니트를 두르고 있는 느낌이 연상돼요. 처음에 이 향을 딱 두르면, 볕에 빳빳하게 잘 마른 빨래에서 날 법한 알데하이드 향이 나고, 겨울 바람처럼 약간 시린 느낌이 같이 나요. 그리고 곧이어서 두툼한 니트처럼 포근한 코튼 향과 화이트 마스크 향이 함께 납니다. 첫향에 시린 느낌이 있고 잔향으로 가서 포근해진다느 느낌을 받았어요. 이 향수는 오히려 추운 계절에도 칙칙해지지 않는, 검은 색 롱패딩보다는 흰 색 복슬복슬한 니트 소재 옷을 입을 것 같은 사람이 뿌릴 것 같은 향 같다고 느껴졌어요. 외모도 성격도 편안한 사람이 떠오릅니다."
ENFJ에게 어울리는 올리브영 향수 추천 _나르시소로드리게즈 _퓨어머스크_G52rLW_cd6I.txt,ENFJ에게 어울리는 올리브영 향수 추천 #나르시소로드리게즈 #퓨어머스크,https://www.youtube.com/watch?v=G52rLW_cd6I,나르시소 로드리게즈 퓨어머스크,"꽤 중성적인 향입니다. 비누향 같은데 방금 빤 옷을 입은 그 뽀송한 냄새도 나오고, 그 단정한 느낌 깨끗한 냄새도 나오고, 그 다정하고 포근한 이미지 가진 사람이 뿌리면 딱 좋다고 생각을 했어요. 예를 들면 교회 오빠, 전교 회장, 그래서 많은 이들에게 친절한, MBTI로 따지면 엔프제 같은 느낌? 부드럽고 살냄새 같은 머스크향이 나요."
ENG Sub_메종 마르지엘라 향수 재즈클럽_레이지 선데이 모닝 후기_ Maison Margiela Jazz Club_Lazy Sunday Morning REVIEW _ MIJI_TTVfxcp7kBs.txt,ENG Sub.메종 마르지엘라 향수 재즈클럽&레이지 선데이 모닝 후기! Maison Margiela Jazz Club&Lazy Sunday Morning REVIEW | MIJI,https://www.youtube.com/watch?v=TTVfxcp7kBs,메종 마르지엘라 레플리카 재즈클럽,"정말로 내가 어느 분위기 있는 째즈바에 와 있는 느낌이 듭니다. 약간은 습하고 어두컴컴한 지하 재즈바에 들어간 다음에 약간은 끈적이고 낡은 원목 테이블에 앉아서 술을 마실 때 날 것 같은 냄새로 느껴집니다. 역하지 않은 위스키 냄새랑 달달한 초콜렛 및 바닐라 향기가 많이 느껴져요."
ENG Sub_메종 마르지엘라 향수 재즈클럽_레이지 선데이 모닝 후기_ Maison Margiela Jazz Club_Lazy Sunday Morning REVIEW _ MIJI_TTVfxcp7kBs.txt,ENG Sub.메종 마르지엘라 향수 재즈클럽&레이지 선데이 모닝 후기! Maison Margiela Jazz Club&Lazy Sunday Morning REVIEW | MIJI,https://www.youtube.com/watch?v=TTVfxcp7kBs,메종 마르지엘라 레플리카 선데이 모닝,"이 향수는 일요일 아침에 이불 속에서 게으름을 피우고 있는 여가 시간을 표현한 향입니다. 깨끗한 빨래 향으로도 잘 알려져 있는데요, 느낌은 하우스 키퍼가 이제 막 다녀가서 방금 새 것으로 교체된 호텔 침구 냄새 입니다. 화학 성분이 들어간 세제를 사용해서 아주 청결하고 완벽하게 관리한 호텔 이불을 덮었을 때 날 것 같은 냄새요. 전반적으로 빳빳한 머스크 향과 핑크색 섬유유연제 향이 함께 나는 향수예요."
ENTP 남자에게 어울리는 향수_ _디에스앤더가 _카우보이그라스_4cOWmw799eM.txt,ENTP 남자에게 어울리는 향수? #디에스앤더가 #카우보이그라스,https://www.youtube.com/watch?v=4cOWmw799eM,디에스앤더가 카우보이 그라스,"MBTI의 ENTP 같이 자유분방하면서 자기 주장이 확고한 사람을 떠올리게 하는 향수인 것 같아요. 서부 영화에 나오는 모래바람이 불고 건초가 굴러가는 풍경이 그려지는 향이예요. 풀과 곡식 등을 넣어둔 우드 마구간 같은 느낌도 들고요. 스킨향이 살짝 나서 시원해 보이기도 하고, 카우보이들처럼 개척자의 느낌이 있는 것 같아요. 자기가 원하는 것이 있으면 훅 떠나 버릴 것 같은 느낌의 사람이 잘 어울릴 것 같습니다."
MBTI _T_ 유형에게 추천하는 향수 브랜드 _feat_ 메종크리벨리 브와 닷챠이__4I6uLBgVXfg.txt,MBTI 'T' 유형에게 추천하는 향수 브랜드 (feat. 메종크리벨리 브와 닷챠이),https://www.youtube.com/watch?v=4I6uLBgVXfg,메종크리벨리 브와 닷챠이,"산속에서 야생베리를 수확하면서 스파이시하고 스모키한 홍차를 마시는 순간, 깊은 산 속에서 타닥타닥 나뭇잎을 태우고 있을 때 날 법한 스모키한 우디향이랑 차이티 향이 뿌리자마자 납니다. 그리고 블랙베리의 향도 은근하게 나는데요. 야생 블랙베리를 수확하고 있는 기분이 드는 자연적이고 많이 달지 않은 그런 베리 향이 살짝 섞였습니다. 숲속의 평화로운 모습이 너무 잘 표현이 됐습니다."
sub_생화향 향수_바이레도 인플로레센스 리뷰 Byredo Inflorescence Review _ 미지의세계 MIJI_vdY8Y9G1J2k.txt,sub)생화향 향수🌺바이레도 인플로레센스 리뷰 Byredo Inflorescence Review | 미지의세계 MIJI,https://www.youtube.com/watch?v=vdY8Y9G1J2k,바이레도 인플로레센스,냄새를 맡자마자 엄청 큰 꽃다발을 이렇게 코에 갖다 대는 듯한 부드러운 냄새가 들었거든요. 느낌이 들판을 걷다가 눈에 보이는 꽃들을 다 뽑고 풀도 뽑고 해서 정말 큰 바구니에 담았을 때 그 큰 꽃바구니에서 날 것 같은 냄새로 느껴집니다. 꽃잎의 보들보들한 촉감이 연상될 정도로 정말 생생하고 강력한 생화 향으로 다가와요. 누가 내 얼굴에 꽃을 막 던지는 것 같은 느낌? 식물의 줄기같이 물기를 머금은 듯한 풀 비린내도 함께 납니다. 여기 이 풀 비린내에서 약간 달짝지근한 파우더리함 같은 것도 섞여있더라구요. 물론 이 제품의 향 자체는 아주 은은하고 신선한 향이에요. 진짜 꽃 향기가 그리울 때 생각날 것 같은 향입니다.
_5분컷_한국 인기 장미향 향수 리뷰_비교_생화향_ 중성적인 향_ 달달한 향 등 _ 미지의세계 MIJI_-PwNwYK9POg.txt,"(5분컷)한국 인기 장미향 향수 리뷰&비교🌹생화향, 중성적인 향, 달달한 향 등 | 미지의세계 MIJI",https://www.youtube.com/watch?v=-PwNwYK9POg,조말론 레드 로즈,붉은 생장미에 코 박으면 날 것 같은 향입니다. 장미 꽃잎과 싱싱한 풀 줄기 향만 나더라구요. 다른 것들 섞이지 않은 정직하고 깔끔한 생장미 향이고 생화 특유의 쎄하고 꼬릿한 냄새까지 나는 정직하고 깔끔한 느낌의 생장미 향입니다. 전체적으로 어렵지 않고 자연적인 형이고요 가장 생장미 향을 잘 구현한 향수라고 생각합니다.
_5분컷_한국 인기 장미향 향수 리뷰_비교_생화향_ 중성적인 향_ 달달한 향 등 _ 미지의세계 MIJI_-PwNwYK9POg.txt,"(5분컷)한국 인기 장미향 향수 리뷰&비교🌹생화향, 중성적인 향, 달달한 향 등 | 미지의세계 MIJI",https://www.youtube.com/watch?v=-PwNwYK9POg,딥티크 오로즈 오드퍼퓸,장미향에 달달한 리치 냄새와 정원같은 푸릇푸릇한 그리너리함 그리고 캐모마일 향도 함께 납니다.
_5분컷_한국 인기 장미향 향수 리뷰_비교_생화향_ 중성적인 향_ 달달한 향 등 _ 미지의세계 MIJI_-PwNwYK9POg.txt,"(5분컷)한국 인기 장미향 향수 리뷰&비교🌹생화향, 중성적인 향, 달달한 향 등 | 미지의세계 MIJI",https://www.youtube.com/watch?v=-PwNwYK9POg,프레드릭 말 윈 로즈,풍성하고 고혹적인 생화 향이 납니다. 뿌리째 뽑혀진 완전한 장미를 한가득 모아둔 듯한 씁쓸한 풀과 흙이 섞인 장미향입니다. 확실히 고급스러운 향이긴 하지만 이게 쿰쿰한 와인에 절여진 장미향으로 느껴질 때가 있어서 가끔 생화보다는 비싼 향수 향 같기도 해요.
_5분컷_한국 인기 장미향 향수 리뷰_비교_생화향_ 중성적인 향_ 달달한 향 등 _ 미지의세계 MIJI_-PwNwYK9POg.txt,"(5분컷)한국 인기 장미향 향수 리뷰&비교🌹생화향, 중성적인 향, 달달한 향 등 | 미지의세계 MIJI",https://www.youtube.com/watch?v=-PwNwYK9POg,산타마리아노벨라 로사가데니아,핑크빛 장미 꽃잎의 꽃잎만을 따서 만든 뽀얀 질감의 달달한 장미 우유 같은 향인데요. 종종 이 향을 바나나 킥 냄새를 느끼시는 분들도 있더라고요.
