영상제목,URL,향수_이름,향수_name,향수_notes,향수_설명
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,아르마니 뷰티 마이웨이 플로럴,My Way Floral Giorgio Armani,"Orange Blossom, Green Mandarin, Bitter Orange, Indian Tuberose, Tunisian Neroli, Bourbon Vanilla, White Musk",와우 풍선껌 같은 향이 나요! 왠지 블루베리맛 와우 풍선껌이 생각나네요.
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,카얄리 얌 피스타치오 젤라또,Yum Pistachio Gelato | 33 Kayali Fragrances,"Pistachio, Ice cream, Bergamot, Hazelnut, Rum, Cardamom, Lily-of-the-Valley, Pear, Jasmine, Peony, Geranium, White Peach, Raspberry, Whipped Cream, Marshmallow, Cotton Candy, Tonka Bean, Loukhoum, Sandalwood, Cacao, Cedar",피스타치오 아이스크림 향입니다. 비누처럼 깨끗한 향으로 구현돼요! 달달한 향기나는 아이스크림 모양 비누가 떠오르는 향입니다. 피스타치오 아이스크림 비누가 있다면 이러 것 같아요!
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,아리아나 그란데 솔티드 카라멜,R.E.M. Ariana Grande,"Zefir, Caramel, Salt, Fig, Quince, Lavender, Pear Blossom, Musk, Tonka Bean, Sandalwood","솔티드 캐러멜 바른 무화과를 라벤더 밭에서 먹는 기분이 들어요. 과즙 있는 무화과 향이랑 단짠한 솔티드 캐러멜 향을 시작하는데 라벤드 향이 싹 터치가 돼 가지고요, 되게 달달한 향인데 좀 중성적이면서 느글거리지 않는 향으로 만들어졌어요."
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,자라 필드 앤 라이트 폴,Fields at Nightfall ZARA,"Praline, Jasmine, Sandalwood, Amber",우유에 시럽이나 바닐라 파우더 넣고 따뜻하게 데워서 마시는듯한 향이예요. 귀엽고 편안한 우유 향 느낌!
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,제로보암 고조,Gozo Jeroboam,"Tuberose, Saffron, Bergamot, Cedarwood, Violet Leaves, Geranium, Patchouli, White Musk, Ambroxan",외국 여행하다가 마주친 기념품샵에서 구입한 형형색색 캔디가 있다면 이럴 것 같아요! 잔향에서는 earthy한 패츌리향이 나서... 비옥한 흙바닥에 떨어진 주황색 캔디 같은 느낌입니다.
상큼발랄 로코 여주st🐰˚✧ 꽃+과일향 향수 모음꒷🌼꒦˚🍋༉‧₊,https://www.youtube.com/watch?v=NZ8MwYWN0Z8,베스 앤 바디 웍스 러브 올웨이즈 윈즈,Love Always Wins Bath&Body works,"Watery Notes, Citrus, Woodsy Notes, Sage, Lotus",엄청 달달한 통조림 과일이랑 코코넛 워터로 만든 과일 화채 느낌이랍니다.
"상황별 갓성비 향기템 추천🩵올리브영 향수부터 카톡 선물하기, 탬버린즈, 휩드 등🧚‍♀️",https://www.youtube.com/watch?v=7PVNTAeslys,크리니크 마이해피 오 드 퍼퓸 릴리 오브 더 비치 ,Lily of the Beach Clinique,"Frangipani, Coconut, Lily, Tiare Flower, Vanilla, Sandalwood, Ylang-Ylang, Amber, Bergamot","완전 여름 무드를 담고 있는 향이에요. 여름에 따사로운 햇살을 담은 온기가 있는 온도가 높은 스타일이에요. 향은 나른한 한 여름에 꽃밭에서 코코넛 밀크를 맛있는 듯한 향이라고 할 수 있어요. 그만큼 행복하고 달콤한 플로르 오디 향입니다. 여기서는 휴양지에서 자주 보이는 꽃은 프랑지파니, 일랑일랑, 릴리 요런 볼륨감 있는 꽃향기가 솔솔 나고요. 그와 함께의 크리미한 코코넛 향기도 꽤나 느껴집니다. 게다가 바닐라와 엠버의 달콤함 그리고 샌달 향까지 더해졌습니다."
서늘한 장미향 향수⚘🌀세르주루텐 라휘드베흘랑 리뷰 | 미지의세계 MIJI,https://www.youtube.com/watch?v=2dD9J9dYRX4,세르주 루텐 라 휘드 베흘랑,,"Rose, Geranium, Palmarosa, Honey, Moss, Patchouli","이 향수는 장미향이 지배적인 향이에요. 하지만 그냥 뻔하고 고운 장미 냄새는 아닙니다. 처음에 딱 뿌리면 되게 쎄한 냄새가 나는데 껌 은박지를 씹은듯한 느낌으로, 좀 메탈릭한 향으로 시작하는 향수에요. 되게 서늘한 꽃향기다 이 생각이 들더라구요. 해 안 뜨고 구름낀 날 그늘 밑에 있으면 서늘하잖아요, 딱 그런 느낌이에요.  근데 또 이게 시간이 지날수록 달달한 장미향이 솔솔 올라오고 잔향해서는 패춘리 향이 많이 나거든요. 잔향을 맡으며는 쌀쌀한 날씨에도 어울릴 향이라는 생각이 들어요. 그냥 단순한 장미 향은 아니에요. 장미향 향수 중에선 특이한 편에 속하는? 뭔가 되게 분위기 있고 사연 있어 보이는 느낌을 내기에 적합한 향수 같아요. "
성공적인 화이트데이 데이트를 위한! 여자친구 향수 선물 추천💕 #필로소피 #올리브영향수,https://www.youtube.com/watch?v=gWT3fHKz3jw,필로소피 퓨어 그레이스 누드,Pure Grace Nude Rose Philosophy,"Green Notes, Dew Drop, Rose Petals, Neroli, Orange Blossom, Musk, Cedar","로즈는 채광이 좋아서 햇살이 눈부시게 들어오는 방에 들장미를 가득 채워 모습이 떠오르는 향이에요. 따사로움서도 감성적인 이미지를 가진 분에게 너무 잘 어울릴 겁니다. 상쾌하고 청결하면서 약간의 중성적인 바이브도 있는 향입니다. 방금 세탁을 끝낸 옷을 입은듯한 느낌을 줘서요. 은은한 섬유 위원제 향, 편안한 코튼 향을 선호하는 분에게 강추합니다."
세상의 모든 깨끗함을 담은🫧 #올리브영향수 추천! 클린 리저브 라인 향수 리뷰,https://www.youtube.com/watch?v=Wqcv52MMlYY,클린 리저브 블랜드 웜코튼,Warm Cotton [Reserve Blend] Clean,"Aldehydes, Ozonic notes, Watery Notes, Ginger, Green Notes, Floral Notes, Mint, Pepper, Musk, Vetiver, Incense",정말 갓 세탁한 섬유에서 나는 편안한 향 그 자체. 정말 갓 세탁한 옷에서 나는 편안한 향만 놔서 완전 꽂혀 썼어요. 처음에는 깊은 향취를 느낄 수 있어요. 민티는 느낌으로 시작을 하고요 시간이 지나면은 포근한 머스크향이 남습니다. 그래서 이 향수를 뿌리면 정말 항상 정갈하고 자기 관리 잘하고 언제나 깨끗하고 잘 다려진 옷을 입고 다니는 사람의 이미지를 연출할 수 있을 것 같아요.
세상의 모든 깨끗함을 담은🫧 #올리브영향수 추천! 클린 리저브 라인 향수 리뷰,https://www.youtube.com/watch?v=Wqcv52MMlYY,클린 리저브 블랜드 스킨,Skin Clean,"Praline, Musk, Salt, Tonka Bean, Leather",진짜 스킨형 살 냄새예요 정말 우리의 살구빛 부드러운 살결이 떠올릴 정도로 포근한 향이랑 달달한 향기가 어우러졌어요. 그래서 이 향수를 딱 뿌리면 연인이랑 함께 안락한 집에서 초콜릿이나 비스킷 같은 맛있는 간식 만들면서 너무 행복한 시간을 보내고 있는듯한 그런 모습이 연상이 돼요.
세상의 모든 깨끗함을 담은🫧 #올리브영향수 추천! 클린 리저브 라인 향수 리뷰,https://www.youtube.com/watch?v=Wqcv52MMlYY,클린 리저브 블랜드 레인,Clean Rain Clean,"Melon, Water Lily, Musk, Narcissus, Daisy",비가 그친 숲속에 차분하고 잔잔한 향이라는 컨셉을 가지고 있는데요. 상큼한 시트러스 향이랑 수련 은방울꽃 요런 촉촉한 꽃향기가 나고요. 잔향으로 갈수록 패출리 베티버 등의 풀향이 납니다. 그래서 물기가 맺혀 있는 숲 속에 딱 들어가서 그 맑은 공기를 한 껏 흠 하고들이 마시는듯한 기분이 들어요. 전반적으로 잔잔한 바이브라 차분하고 조용한 성향을 가진 분들이 뿌리면 너무너무 잘 어울릴 것 같고요.
세상의 모든 깨끗함을 담은🫧 #올리브영향수 추천! 클린 리저브 라인 향수 리뷰,https://www.youtube.com/watch?v=Wqcv52MMlYY,클린 아쿠아 네롤리,Acqua Neroli Clean,"Bergamot, Sicilian Orange, Mandarin Orange, Neroli, Orange Blossom, Jasmine, Musk, Ambrette (Musk Mallow), Sandalwood, Amber",티없이 맑고 자연적이고 시원한 네롤리 향을 좋아한다면 정말 추천하는 향수입니다. 처음에 딱 뿌렸을 때는 지중해에서 잘한듯한 밝고 가벼운 시트러스 향이 나는데요. 롤리를 중심으로 은은한 꽃향기가 퍼지는데 이때 꽃향기가 좀 비는 애 같아요. 내추럴하고 신선한 비누향이 아니라 신선한 향이라고 할 수 있죠.
"소개팅, 데이트에 제격💘 로맨틱한 무드의 여자 향수 추천",https://www.youtube.com/watch?v=nv5Y8x1oGoU,메종 마르지엘라 온 어 데이트,On A Date Maison Martin Margiela,"Blackcurrant Syrup, Pink Pepper, Bergamot, Rose, Geranium, Davana, Patchouli, Moss, Musk, Vetiver","늦여름 저녁 황금 석양빛에 잘 익은 포도와 신선한 장미향기가 공기를 가득 채워서 로맨틱했던 하루가 떠오르는 향수입니다. 처음에 뿌리면 포도 향기가 나고, 이게 자연적인 포도향이라기보다는 잘 익은 포도로 와인을 만들었을 때 날법한 향에 가깝습니다. 포도를 잘 조린 듯한 달달함에 새콤한 시트러스 향도 섞였고, 핑크 페퍼 향주 덕분에 스파클링한 바이브도 있어요. 그리고 곧이어 플로럴 바이브가 풍성하게 나고, 잔향에서 패출리, 베티버, 이끼 향들이 남거든요. 장미꽃다발을 한아름 안은 듯한 느낌과 넓게 펼쳐진 포도밭에 온 듯한 느낌이 느껴집니다."
"소개팅, 데이트에 제격💘 로맨틱한 무드의 여자 향수 추천",https://www.youtube.com/watch?v=nv5Y8x1oGoU,구찌 뷰티 알케미스트 가든 티어즈 프롬 더 문,Tears From The Moon Gucci,"Peony, Lily-of-the-Valley, Stephanotis","진짜 럭셔리하고 보드라운 꽃향기, 정말 여리여리한 꽃향기와 달콤한 샴푸향이 느껴지는 향입니다. 슈퍼 라이트하고 슈퍼 프리티한 향이다라는 리뷰와 공감되고, 이 향은 진짜 좋은데 어디서 맡아본 냄새 같은 느낌이 드는 향이기도 합니다. 정말 여리여리한 여자에게서 날법한 달콤한 샴푸향같은 느낌입니다. 순백의, 신비롭고 은은하게 느껴지고 뽀얗고 에어리한 느낌이 있어요."
"소개팅, 데이트에 제격💘 로맨틱한 무드의 여자 향수 추천",https://www.youtube.com/watch?v=nv5Y8x1oGoU,조보이 파리 투셰 피날레,Touche Finale Jovoy Paris,"Mimosa, Pink Pepper, Violet Leaf, Rose, Jasmine, Cedar, Heliotrope, White Musk, Sandalwood","부드럽고 달콤한 파우더향이 메인인 향수로, 클래식하고 고상한 느낌입니다. 파우더리함이 다양한 꽃향기와 함께 달콤하게 느껴지며, 아주 곱고 섬세한 파우더 향입니다. 이 향수의 컨셉은 예술가가 명작을 그리다가 마지막으로 붓을 터치해서 작품을 완성시키는 순간에서 영감을 받은 향이라고 해요. 상견례나 선자리에 잘 어울릴 것 같을 정도로 참한 느낌입니다. 완전 클래식한 느낌."
"소개팅, 데이트에 제격💘 로맨틱한 무드의 여자 향수 추천",https://www.youtube.com/watch?v=nv5Y8x1oGoU,리베르 아트 북,LIBER Art Book,"Bergamot, Black Pepper, Tangerine, Lemon, Orchid, Violet, Clove, Rose, Musk, Amber, Cedarwood, Pachouli","중성적인 우디 향으로, 나무소재 책장에서 나는 우디향이 지배적이고, 장식용 식물에서 느껴지는 약간의 그린어리함도 곁들여져 있습니다. 연필심 냄새와 중간중간에 스파이시한 향신유 냄새가 느껴지며, 전체적으로 가볍고 스파이시한 향입니다."
"소개팅, 데이트에 제격💘 로맨틱한 무드의 여자 향수 추천",https://www.youtube.com/watch?v=nv5Y8x1oGoU,프레쉬 로즈 모닝,Rose Morning Fresh,"Rose, Violet Leaf, Black Currant, Bulgarian Rose, Peach Blossom, Freesia, White Tea, Musk, Amber","되게 예쁘고 생생한 연 핑크색의 장미 향인데, 아침 이슬이 맺혀 있어 촉촉하고 맑은 핑크 장미향을 맡을 수 있습니다. 산뜻한 복숭아향도 느껴져서 기분이 좋아지는 향이에요."
솔직발칙한 공주님 향기💜핫한 퍼퓸드말리 신상! '팔라틴' 리뷰🧚,https://www.youtube.com/watch?v=U76Ae-gjqDk,퍼퓸드말리 팔라틴,Palatine Parfums de Marly,"Pear, Bergamot, Mandarin, Violet, Floral bouquet, Lavender, Musk, Sandalwood, Vanilla, Patchouli","요거는 보라빛의 바이올렛 꽃향기가 메인 향수예요. 저는 이 향을 딱 맡자마자 두 가지 명곡이 떠올랐어요. 보라빛처럼 살며시 다가오는 느낌, 향기가 어려 있는 예쁜 눈 슬픈 느낌이예요. 첫 향에서는 서양 배를 중심으로 한 프루트 향이랑 여러 꽃향이 신선하게 퍼져요. 뿌리자마자 되게 고급진 샴푸향 같다라고 느꼈어요. 바이올렛 꽃향기는 일반적으로 파우더 향이라고 여기기는 하지만 이 팔라틴의 바이올렛은 신선한 방식으로 해석을 했다는 점이 재밌습니다. 향은 마치 바이올렛 꽃을 곱게 갈아서 반짝반짝하는 글리터로 만든 듯한 향이에요. 잔향에서는 중성적인 허브 우디향이 남아요. 처음 뿌렸을 때와는 완전히 다른 스타일로 향이 남는다는 거죠. 중성적이면서 포근한 우디 머스크향이 남습니다."
솔직발칙한 공주님 향기💜핫한 퍼퓸드말리 신상! '팔라틴' 리뷰🧚,https://www.youtube.com/watch?v=U76Ae-gjqDk,퍼퓸드말리 발라야,Valaya Parfums de Marly,"Aldehydes, White Peach, Bergamot, Mandarin Orange, Orange Blossom, Petalia, Lily-of-the-Valley, Nympheal™, Vetiver, Mahonia, Musk, Ambroxan, Akigalawood, Vanilla",발라야 향은 새하얀 면사포를 쓰고 있는 정말 청순하게 단장하는 사람이 떠오를 정도로 깨끗한 향이에요. 복숭화 향이랑 시트러스가 부드러운 오렌지 플라워와 바닐라 머스크 향을 만나서 스윗한 살냄새처럼 은은하게 동시에 좀 은근한 관능미까지 만들어 준 향이죠. 신기하게도 지속력과 확산력이 너무 좋아요. 그 은은함과 지속성을 둘 다 갖춘 향수입니다.
솔직발칙한 공주님 향기💜핫한 퍼퓸드말리 신상! '팔라틴' 리뷰🧚,https://www.youtube.com/watch?v=U76Ae-gjqDk,퍼퓸드말리 그린리,Greenley Parfums de Marly,"Green Apple, Calabrian bergamot, Mandarin Orange, Petitgrain, Cedar, Cashmeran, Pomarose, Violet, Oakmoss, Musk, Amberwood",저는 이 향을 맡으면 뭔가 숲속에서 청사과를 시원한 물로 씻고 있는 기분이 들어요. 초록초록한 녹음이라 풋풋한 과일향이 어우러져서 아주 프레시한 무드를 만들어 주는 향수입니다. 처음에 딱 뿌렸을 때는 아삭아삭한 그린 애플의 향이랑 상큼한 시트러스 향이 상쾌하게 나오고요. 자연적이고 그리너리 한 향이 중성적으로 퍼집니다.
"수수한 여자에게 어울리는 향수들🧚‍♀️ 카즈하, 슬기, 한예리 등 이미지별 향수 추천!",https://www.youtube.com/watch?v=DIYLyDUBen4,조말론 바질 앤 네롤리,Basil & Neroli Jo Malone London,"Basil, Neroli, White Musk, Vetiver",아주 신선한 바지를 향기로 시작을 했다가 왠지 색깔이 연두색일 것 같은 비누에서 날 법한 향으로 이어지는 향수입니다. 오렌지 나무에서 씁쓸한 오렌지 꽃을 따고 싱그러운 허브들도 채집해서 직접 만든 비누가 있다면 딱 이런 향일 것 같아요. 되게 산뜻하면서도 뭔가 장난기 있는 느낌의 향수입니다.
"수수한 여자에게 어울리는 향수들🧚‍♀️ 카즈하, 슬기, 한예리 등 이미지별 향수 추천!",https://www.youtube.com/watch?v=DIYLyDUBen4,살롱드느바에 퓨어 워터,Pure Water Salon de Nevaeh,"Water Notes, Tangerine, Lemon, Aldehydes, White Lily, Sea Notes, Jasmine, Musk, Roots, Brazilian Rosewood, Sandalwood, Amber",세탁세제를 풀어놓은 깨끗한 물이 떠오르는 향이라서 누구나 부담없이 쓸 수 있을 만한 향기입니다. 처음에는 맑은 물에 아쿠아틱한 향과 새콤한 레몬향이 나다가 시간이 지날수록 세탁과 다림질을 마친 흰 셔츠에서 날 법한 머스크향으로 마무리가 됩니다.
"수수한 여자에게 어울리는 향수들🧚‍♀️ 카즈하, 슬기, 한예리 등 이미지별 향수 추천!",https://www.youtube.com/watch?v=DIYLyDUBen4,필로소피 어메이징 그레이스 발레로즈,Amazing Grace Ballet Rose Philosophy,"Litchi, Rose, Peony, White Musk, Woodsy Notes","아주 순하고 깨끗하고 심플한 장미향입니다. 여리여리한 핑크색 장미에서 나는 예쁜 로즈향이 은은하게 나고요. 잔향은 약간 비누향기 같아요. 발레리나의 모습에서 영감을 받은 향수인데, 정말 토슈즈와 발레복을 입고 있는 섬세한 몸짓의 발레리나에게서 날법한 향기로 느껴집니다."
"수수한 여자에게 어울리는 향수들🧚‍♀️ 카즈하, 슬기, 한예리 등 이미지별 향수 추천!",https://www.youtube.com/watch?v=DIYLyDUBen4,프레데릭날 이리스 뿌드,Iris Poudre Frederic Malle,"Ylang-Ylang, Carnation, Palisander Rosewood, Bergamot, Orange, Aldehydes, Grapefruit, Juniper, Violet, Lily, Jasmine, Rose, Magnolia, Orris, Leather, Cyclamen, Peach, Iris, Musk, Sandalwood, Vetiver, Vanilla, Amber, ebony tree, Cedar, Tonka",포근한 베이비 파우더가 떠오르는 새하얗고 순수한 아이리스 꽃 향기처럼 느껴지는 향입니다. 샤넬 넘버 5 향과 비슷한 느낌으로 아주 고혹적이고 고급스러운 알데하이드 향이기도 합니다.
"수수한 여자에게 어울리는 향수들🧚‍♀️ 카즈하, 슬기, 한예리 등 이미지별 향수 추천!",https://www.youtube.com/watch?v=DIYLyDUBen4,랄프로렌 폴로 랄프 EDT,Ralph Ralph Lauren,"Apple Leaf, Italian Mandarin, Japanese Osmanthus, Yellow Freesia, Magnolia, Boronia, Musk, White Iris",젊고 발랄한 느낌의 향입니다. 청사가 향이 나는 샴푸로 방금 머리를 감고 나와서 물기가 아직 채 마르지도 않은 10대나 20대에게서 날 법한 향이에요. 아주 청량하고 과하지 않은 샴푸향이기 때문에 굉장히 오랫동안 사랑받아온 베스트셀러입니다.
숨은 원석 같은 향수 브랜드 발견!💙 페사드(pesade) 향 추천🏇,https://www.youtube.com/watch?v=ZxcGNvqBHe0,페사드 미드 마운틴,Mid Mountain Pesade,"Pachouli, Cedarwood, Orchid, Lemon, Rose, Muge, Amber, Musk","이 향을 뿌렸을 때 연상되는 느낌은 캘리포니아 LA 같은 도시에 혼자 여행가 가지고 밤거리를 산책하고 있는 모습이었어요. 신선한 레몬 향에서 느낄 수 있으며, 곧이어서 로즈의 핑크빛과 은방울꽃, 오키드, 그리고 엠버, 패출리 노트가 잔잔하게 퍼집니다. 밀키한 샌다로드 향이 오래도록 잔량으로 남아, 너무 크리미하지도 않고 적절하게 잘 표현됐다고 느꼈어요. 이 향이 LA 같은 낭만적인 도시가 연상되는 플로럴 우디향으로 완성이 된 거죠."
숨은 원석 같은 향수 브랜드 발견!💙 페사드(pesade) 향 추천🏇,https://www.youtube.com/watch?v=ZxcGNvqBHe0,페사드 더 뉴 에러,The New Error Pesade,"Black tea, Lum, Cedarwood, Bergamot, Orange, Citrus, Rose, Tea, Pepper, Cedarwood, Sesame, Musk","이 향은 가벼운 시트 향으로 시작을 했다가 묵직한 블랙티 향과 시더우드 향으로 이어지고, 달큰한 럼 향과 매케한 스파이시 페퍼 향이 어우러집니다. 낮에는 카페로 운영하고 밤에는 바로 운영되는 분위기 좋은 바에 있는 것 같은 느낌이에요, 럼과 블랙 티를 함께 즐기는 느낌이죠. 오묘하면서도 입체적인 향이라서 정의되고 싶지 않아라고 생각하시는 분들에게 추천하고 싶은 오리엔탈 우디 계열의 향기입니다."
